Requirement title,Mandatory / Optional,Full requirement,Control application,Control,Evidence title,Typical evidence,Category,Typical Location,Capabilities,Category,Typical Location,Capabilities,Type of change,Change - priority area,Change - control,Change - evidence title,Change - typical evidence,"Change - other (control type, category, typical location, capabilities)",Reasoning for change,Changelog specification
C012: Third-party testing for customer-defined risk,Mandatory,Appoint expert third-parties to evaluate system robustness to additional high-risk outputs as defined in risk taxonomy at least every 3 months,Core - This should include:,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of high-risk areas at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",C012.1 Third-party evaluation report assessing customer-defined risk,"Third-party evaluation report showing testing of customer-defined risk - must include documentation of assessor qualifications, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Third-party Evals,Third-party evaluation report,Universal,Third-party Evals,Third-party evaluation report,Universal,Not changed,,,,,,,
D001: Prevent hallucinated outputs,Mandatory,Implement safeguards or technical controls to prevent hallucinated outputs,Core - This should include:,"- Implementing factual accuracy controls. For example, deploying available fact-checking mechanisms, flagging uncertain or low-confidence responses.",D001.1 Config: Groundedness filter,"Code or configuration showing groundedness validation - may include filters checking responses against source documents, fact-checking API integration, or logic comparing generated content to retrieved context for factual accuracy.",Technical Implementation,Engineering Code,"Text-generation, Voice-generation, Code-generation",Technical Implementation,Engineering Code,"Text-generation, Voice-generation",Changed existing (evidence language),,,,,,,
D001: Prevent hallucinated outputs,Mandatory,Implement safeguards or technical controls to prevent hallucinated outputs,Core - This should include:,"- Establishing information source validation. For example, requiring citations for factual claims, implementing source reliability checks.",D001.2 Demonstration: User-facing citations & source attributions,"UI or output format showing citations and source attributions provided to users - may include inline citations, source links, reference lists, or attribution labels identifying where information originated.",Technical Implementation,Product,"Text-generation, Voice-generation, Code-generation",Technical Implementation,Product,"Text-generation, Voice-generation",Changed existing (evidence language),,,,,,,
D001: Prevent hallucinated outputs,Mandatory,Implement safeguards or technical controls to prevent hallucinated outputs,Supplemental - This may include:,"- Maintaining uncertainty communication. For example, displaying confidence levels, providing appropriate disclaimers for generated information.",D001.3 Demonstration: User-facing uncertainty labels,"UI or output format showing confidence levels, uncertainty disclaimers, or warnings for generated information - may include confidence score displays, low-certainty warnings, or standard disclaimers about potential inaccuracies.",Technical Implementation,Product,"Text-generation, Voice-generation, Code-generation",Technical Implementation,Product,"Text-generation, Voice-generation",Changed existing (evidence language),,,,,,,
D002: Third-party testing for hallucinations,Mandatory,Appoint expert third-parties to evaluate hallucinated outputs at least every 3 months,Core - This should include:,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",D002.1 Report: Hallucination testing results,"Third-party evaluation report showing hallucination testing - must include risk taxonomy tested, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Third-party Evals,Third-party evaluation report,"Text-generation, Voice-generation, Code-generation",Third-party Evals,Third-party evaluation report,"Text-generation, Voice-generation",Not changed,,,,,,,
D003: Restrict unsafe tool calls,Mandatory,"Implement safeguards or technical controls to prevent tool calls in AI systems from executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope",Core - This should include:,"- Implementing tool call validation and authorization. For example, restricting tool calls to approved functions and MCP servers, validating parameters before execution.
",D003.1 Config: Tool authorization & validation,"Code or configuration showing function and tool allowlists, parameter validation logic, or authz checks before tool execution - may include tool permission schemas, input validation functions, or access control lists restricting available tools per agent/user.",Technical Implementation,Engineering Code,Automation,Technical Implementation,Engineering Code,Automation,Changed existing (content),MCP/A2A/multi-agent orchestration,,,,,Extended tool call validation to cover MCP servers alongside approved functions,Revision
D003: Restrict unsafe tool calls,Mandatory,"Implement safeguards or technical controls to prevent tool calls in AI systems from executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope",Core - This should include:,- Enforcing rate limits and transaction caps for autonomous tool use.,D003.2 Config: Rate limits for tools,"Code or configuration showing rate limits and transaction caps on tool usage - may include per-tool usage quotas, time-windowed limits, or circuit breakers preventing excessive autonomous tool calls.",Technical Implementation,Engineering Code,Automation,Technical Implementation,Engineering Code,Automation,Changed existing (evidence language),,,,,,,
D003: Restrict unsafe tool calls,Mandatory,"Implement safeguards or technical controls to prevent tool calls in AI systems from executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope",Core - This should include:,"- Establishing execution monitoring and logging. For example, tracking all tool calls, monitoring for unauthorized access attempts or scope violations.",D003.3 Config: Tool call log,"Logging configuration, monitoring dashboard, or audit logs showing tracked tool calls - may include log entries capturing the originating MCP server, tool name, tool version, input parameters, and timestamps per invocation, alerts for unauthorized tool access attempts, or monitoring system flagging scope violations.",Technical Implementation,Logs,Automation,Technical Implementation,Logs,Automation,Changed existing (content),MCP/A2A/multi-agent orchestration,,,,,Extended tool call validation to cover MCP servers alongside approved functions,Revision
D003: Restrict unsafe tool calls,Mandatory,"Implement safeguards or technical controls to prevent tool calls in AI systems from executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope",Supplemental - This may include:,"- Requiring human approval for sensitive tool operations. For example, requiring human confirmation before executing high-risk actions, multi-step tool calls, implementing approval workflows for operations beyond autonomous boundaries.",D003.4 Config: Human-approval workflows,"Approval workflow, code requiring human confirmation, or ticketing system for sensitive, high-risk, or multi-step tool operations",Operational Practices,Internal processes,Automation,Operational Practices,Internal processes,Automation,Changed existing (content),Other,,,,,"Expanded scope to cover multi-step workflows, reflecting trends of AI agents increasingly chaining tool calls across sequential operations rather than executing single actions in isolation",Revision
D003: Restrict unsafe tool calls,Mandatory,"Implement safeguards or technical controls to prevent tool calls in AI systems from executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope",Supplemental - This may include:,"- Reviewing patterns of AI tool usage. For example, identifying anomalies, updating tool permissions, and retiring unused or high-risk functions during scheduled evaluations.",D003.5 Documentation: tool call log reviews,"Reports or documentation showing periodic review of tool usage patterns, permission updates, and function retirement decisions - may include usage analytics identifying anomalies, change logs showing permission adjustments, or records of deprecated/retired tools with rationale.",Operational Practices,Internal processes,Automation,Operational Practices,Internal processes,Automation,Not changed,,,,,,,
D004: Third-party testing of tool calls,Mandatory,"Appoint expert third-parties to evaluate tool calls in AI systems, including executing unauthorized actions, accessing restricted information, or making decisions beyond their intended scope at least every 3 months",Core - This should include:,"- Appointing qualified third-party assessors. Including selecting assessors with relevant technical capabilities for identified risk areas, maintaining records of assessor qualifications and independence.
- Conducting regular testing. Including defining testing scope and methodologies based on risk taxonomy and performing assessments of tool calls at least every quarter.
- Maintaining documentation. Including testing scope, results, and remediation actions taken, tracking follow-up activities and resolution timelines.",D004.1 Report: Tool call testing,"Third-party evaluation report showing tool call testing - must include risk taxonomy tested, testing methodology and findings, and improvement tracking with remediation timelines and documentation.",Third-party Evals,Third-party evaluation report,Automation,Third-party Evals,Third-party evaluation report,Automation,Not changed,,,,,,,
E001: AI failure plan for security breaches,Mandatory,"Document AI failure plan for AI privacy and security breaches assigning accountable owners and establishing notification and remediation with third-party support as needed (e.g. legal, PR, insurers)",Core - This should include:,"- Assigning a breach response lead from existing staff. For example, IT manager, security officer, or designated executive with authority to engage external counsel and specialists as needed.
- Defining breach notification procedures. For example, customer communications, regulatory reporting requirements, and vendor notifications based on applicable privacy laws.
- Implementing security remediation measures. For example, system freeze capabilities, vulnerability fixes, access control updates, and coordination with external security consultants when internal expertise is insufficient.
- Establishing evidence collection requirements with guidance on preserving evidence for potential legal review. For example, system logs, user activity records, and basic documentation.",E001.1 Documentation: AI failure plan for security breaches,Can be standalone document or integrated in existing incident response procedures/policies,Operational Practices,AI failure plan,Universal,Operational Practices,AI failure plan,Universal,Not changed,,,,,,,
E002: AI failure plan for harmful outputs,Mandatory,"Document AI failure plan for harmful AI outputs that cause significant customer harm assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",Core - This should include:,"- Implementing customer communication protocols. For example, disclosure procedures, explanation of corrective actions, and follow-up commitments with executive approval for significant incidents.
- Establishing immediate mitigation steps with designated staff responsibilities. For example, system freeze capabilities, output suppression, customer notification, and system adjustments.",E002.1 Documentation: AI failure plan for harmful outputs,Can be standalone document or integrated in existing incident response procedures/policies,Operational Practices,AI failure plan,"Text-generation, Voice-generation, Image-generation",Operational Practices,AI failure plan,"Text-generation, Voice-generation, Image-generation",Not changed,,,,,,,
E002: AI failure plan for harmful outputs,Mandatory,"Document AI failure plan for harmful AI outputs that cause significant customer harm assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",Supplemental - This may include:,"- Defining harmful output categories with reference to risk taxonomy. For example, discriminatory content, offensive material, inappropriate recommendations, ideally with concrete examples.
- Coordinating external support engagement. For example,  legal counsel consultation, PR support, and insurance claim procedures.",E002.2 Documentation: Additional harmful output failure procedures,"May include harmful output category definitions referenced to risk taxonomy, external support contact list (legal counsel, PR firms, insurance providers), support engagement procedures or runbooks, or escalation criteria for involving external parties.",Operational Practices,AI failure plan,"Text-generation, Voice-generation, Image-generation",Operational Practices,AI failure plan,"Text-generation, Voice-generation, Image-generation",Not changed,,,,,,,
E003: AI failure plan for hallucinations,Mandatory,"Document AI failure plan for hallucinated AI outputs that cause substantial customer financial loss assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",Core - This should include:,"- Establishing compensation assessment procedures. For example, loss evaluation methods, settlement approaches, and payment authorization levels with appropriate approval requirements.
- Implementing remediation measures. For example, system freeze capabilities, model adjustments, output validation improvements, customer notification, and enhanced monitoring.",E003.1 Documentation: AI failure plan for hallucinations,Can be standalone document or integrated in existing incident response procedures/policies,Operational Practices,AI failure plan,"Text-generation, Voice-generation",Operational Practices,AI failure plan,"Text-generation, Voice-generation",Not changed,,,,,,,
E003: AI failure plan for hallucinations,Mandatory,"Document AI failure plan for hallucinated AI outputs that cause substantial customer financial loss assigning accountable owners and establishing remediation with third-party support as needed (e.g. legal, PR, insurers)",Supplemental - This may include:,"- Defining hallucination incident types. 
- Coordinating potential external support. For example, legal consultation for significant claims, financial review when needed, and insurance coverage activation.",E003.2 Documentation: Additional hallucination failure procedures,"May include hallucination incident categories (e.g. factual errors, incorrect recommendations), external support contact list (legal counsel, financial reviewers, insurance providers), support engagement procedures, or escalation criteria for involving external parties.",Operational Practices,AI failure plan,"Text-generation, Voice-generation",Operational Practices,AI failure plan,"Text-generation, Voice-generation",Not changed,,,,,,,
E004: Assign accountability,Mandatory,"Document which AI system changes across the development & deployment lifecycle require formal review or approval, assign a lead accountable for each, and document their approval with supporting evidence",Core - This should include:,"- Defining AI system changes requiring approval including model selection, material changes to the meta prompt, adding / removing guardrails, changes to end-user workflow, other changes that drive material. For example, +/-10% performance on evals.
- Assigning an accountable lead as approver for each of these changes. Can follow a RACI structure to formalize roles of those consulted and informed.",E004.1 Documentation: Change approval policy and records,"Documentation or policy defining which AI system changes require approval with assigned accountable leads, and approval records showing sign-offs with supporting evidence. Can be a change management policy, overview table in e.g. Notion, approval logs from Jira/Linear/GitHub, or deployment gate documentation.",Operational Practices,Internal policies,Universal,Operational Practices,Internal policies,Universal,Not changed,,,,,,,
E004: Assign accountability,Mandatory,"Document which AI system changes across the development & deployment lifecycle require formal review or approval, assign a lead accountable for each, and document their approval with supporting evidence",Supplemental - This may include:,"- Implementing code signing and verification processes for AI models, libraries, and deployment artefacts to ensure only digitally signed components are approved for production use.",E004.2 Config: Code signing implementation,"Code signing configuration, CI/CD pipeline requiring signed artifacts, or verification process for AI components - may include model signing process, signature verification in deployment pipeline, artifact registry showing signed models/libraries, or policy enforcement blocking unsigned components from production.",Technical Implementation,"Engineering Code, Engineering Practice",Universal,Technical Implementation,"Engineering Code, Engineering Practice",Universal,Changed existing (evidence language),,,,,,,
E005: Document data storage security,Mandatory,"Document data storage security practices considering data sensitivity, regulatory requirements, security controls, and operational needs",Core - This should include:,"- Conducting deployment risk assessments. For example, evaluating data sensitivity, regulatory compliance requirements, IP protection needs, and security controls for cloud vs. on-premises AI processing.
- Documenting decision criteria and rationale. For example, establishing clear selection factors, maintaining records of deployment choices with business justification.
- Reviewing deployment decisions when requirements change. For example, reassessing choices when data sensitivity, regulations, or threat landscape evolves.",E005.1 Documentation: Deployment decisions,"Risk assessment and decision record evaluating cloud vs. on-premises factors (e.g. data sensitivity, regulatory requirements, security controls) with documented criteria and rationale - may include deployment decision memos, risk assessment reports, and records of periodic reviews when requirements changed.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Not changed,,,,,,,
E006: Conduct vendor due diligence,Mandatory,"Establish AI vendor due diligence processes for foundation and upstream model providers covering data handling, PII controls, security and compliance",Core - This should include:,"- Defining assessment criteria for foundational or upstream AI models. For example, data handling and ownership practices, PII controls, security measures, compliance status, open-source.
- Conducting documented assessments. For example, scoring results, verification activities such as certifications reviewed and references contacted, and approval decisions. 
- Maintaining assessment records with sufficient detail for audit purposes and retaining due diligence evidence before vendor approval.",E006.1 Documentation: Vendor due diligence,"Vendor assessment records showing evaluation criteria, scoring results, verification activities, approval decisions with accountable leads, and retained evidence supporting the assessment. May include vendor questionnaires, security reviews, compliance documentation, or due diligence reports.",Operational Practices,"Vendor Contracts, Internal processes",Universal,Operational Practices,"Vendor Contracts, Internal processes",Universal,Not changed,,,,,,,
E007: [Retired] Document system change approvals,Optional,Merged with E004 - see changelog (Q1 2026 update),Core - This should include:,- Documenting formal review and approval decisions for changes defined in E004: Assign accountability.,E007.1 Retired,"This requirement was merged into E004 at the Q1, 2026 standard update. See aiuc-1.com/changelog for more information",,,Universal,,,Universal,Not changed,,,,,,,
E008: Review internal processes,Mandatory,Establish regular internal reviews of key processes and document review records and approvals,Core - This should include:,"- Reviewing decision processes every quarter including AI system changes, foundational model selection, security assessment.
- Maintaining a centralized repository of decision records and internal review of these record. For example, supporting evidence reviewed, remediation plans.
- Documenting and tracking remediation of any risks identified.",E008.1 Documentation: Internal review,"Centralized repository, policy, or tickets showing quarterly internal reviews - e.g. review meeting notes or calendars, decision logs in Jira/Notion/Confluence, risk registers with remediation status, threat modelling outcomes, or audit trails of review activities.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Not changed,,,,,,,
E008: Review internal processes,Mandatory,Establish regular internal reviews of key processes and document review records and approvals,Supplemental - This may include:,"- Collecting and implementing external feedback on AI systems. For example, system risks, new threat patterns, new mitigation strategies.",E008.2 Documentation: External feedback integration,"Documentation showing external feedback collected and implemented - may include external security advisories reviewed, threat intelligence integrated, third-party recommendations adopted, or records of external input incorporated into system improvements.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Not changed,,,,,,,
E009: Monitor third-party access,Mandatory,Implement systems to monitor third party access,Core - This should include:,"- Configuring logging for third-party interactions. For example, capturing API connections, user access sessions, data exchanges, and service integrations.
- Capturing access metadata. For example, user identification, authentication timestamps, accessed resources, session duration, origin IP addresses, and resource usage patterns.",E009.1 Config: Third-party access monitoring,"Logging system or SIEM configuration showing third-party interactions being monitored with captured metadata - may include cloud logging interface (Google Cloud Logging, AWS CloudWatch, Azure Monitor) showing logged API requests with timestamps/IPs/user agents, access logs capturing authentication events and resource access, or SIEM dashboard displaying third-party connection monitoring with relevant metadata fields.",Technical Implementation,Engineering Tooling,Universal,Technical Implementation,Engineering Tooling,Universal,Changed existing (content),TPRM,,,,,,
E010: Establish AI acceptable use policy,Mandatory,Establish and implement an AI acceptable use policy,Core - This should include:,"- Defining prohibited AI usage for end-users. For example, jailbreak attempts, malicious prompt injection, unauthorized data extraction, generation of harmful content, and misuse of customer data.",E010.1 Documentation: AI acceptable use policy,"Policy document defining acceptable and/or prohibited AI usage - can be standalone document or parts of, e.g., terms of service",Legal Policies,Acceptable Use Policy,Universal,Legal Policies,Acceptable Use Policy,Universal,Not changed,,,,,,,
E010: Establish AI acceptable use policy,Mandatory,Establish and implement an AI acceptable use policy,Core - This should include:,"- Implementing detection and monitoring tools. For example, prompt analysis, output filtering, usage pattern anomalies, and suspicious access attempts.",E010.2 Config: AUP violation detection,"Code, configuration, or monitoring system detecting acceptable use policy violations - may include prompt analysis logic, output filtering rules, anomaly detection for usage patterns, or alerting on suspicious access attempts.",Technical Implementation,Engineering Code,Universal,Technical Implementation,Engineering Code,Universal,Changed existing (evidence language),,,,,,,
E010: Establish AI acceptable use policy,Mandatory,Establish and implement an AI acceptable use policy,Core - This should include:,"- Implementing user feedback when policy is breached. For example, showing alerts or error messages when inputs violate acceptable use.",E010.3 Demonstration: User notification for AUP breaches,"User-facing alerts or error messages displayed when acceptable use policy is violated - may include in-product warning messages, blocked request notifications, or error screens explaining policy violations.",Technical Implementation,Product,Universal,Technical Implementation,Product,Universal,Changed existing (evidence language),,,,,,,
E010: Establish AI acceptable use policy,Mandatory,Establish and implement an AI acceptable use policy,Supplemental - This may include:,"- Real-time monitoring, blocking, or alerting capabilities.
- Maintaining logging and tracking systems. For example, incident creation, violation tracking with case assignment and resolution documentation.
- Conducting regular effectiveness reviews. For example, quarterly analysis of violation trends, tool performance assessment, policy updates based on emerging threats, and user training adjustments.",E010.4 Documentation: Guardrails enforcing acceptable use,"Documentation or screenshots showing additional AUP enforcement mechanisms - may include real-time blocking/alerting systems, violation tracking logs with incident management, effectiveness review reports analyzing violation trends and policy updates, or training materials addressing emerging misuse patterns.",Technical Implementation,Engineering Practice,Universal,Technical Implementation,Engineering Practice,Universal,Not changed,,,,,,,
E011: Record processing locations,Mandatory,Document AI data processing locations,Core - This should include:,"- Maintaining AI infrastructure location documentation. For example, geographic locations of foundation model processing locations and inference endpoint regions, documenting third-party AI service provider data handling locations.
- Reviewing and updating documentation regularly.",E011.1 Documentation: AI processing locations,"Subprocessor list showing third-party AI provider locations, infrastructure documentation listing cloud regions and inference endpoints, or data flow diagram with geographic processing locations and version history or review dates.",Operational Practices,Trust Center,Universal,Operational Practices,Trust Center,Universal,Not changed,,,,,,,
E011: Record processing locations,Mandatory,Document AI data processing locations,Supplemental - This may include:,"- Implementing transfer compliance procedures. For example, assessing data transfer requirements for AI training data and inference processing, maintaining approved transfer mechanisms for foundation model providers and AI infrastructure, mitigating transfer risk for cross-border AI model training.",E011.2 Documentation: Data transfer compliance,"Demonstrated by DPA, data transfer impact assessments, approved transfer mechanism documentation (Standard Contractual Clauses, adequacy decisions), cross-border data flow approvals for AI training/inference, or risk assessments for international AI processing.",Legal Policies,"Internal policies, Data Processing Agreement",Universal,Legal Policies,"Internal policies, Data Processing Agreement",Universal,Not changed,,,,,,,
E012: Document regulatory compliance,Mandatory,"Document applicable AI laws and standards, required data protections, and strategies for compliance",Core - This should include:,"- Identifying relevant regulations. For example, data protection laws. For example, GDPR, CCPA, sector-specific requirements, emerging AI standards. For example, EU AI Act.
- Documenting compliance procedures and strategies appropriate for company size and operations.
- Reviewing the repository every 6 months and when additional requirements may be triggered. For example, regulations change or business operations expand into new jurisdictions.",E012.1 Documentation: Regulatory compliance reviews,"Compliance register, assessment memo or review tickets (e.g. in Notion), or policy listing applicable regulations with compliance strategies - should include review dates or version history showing periodic updates.",Legal Policies,Internal processes,Universal,Legal Policies,Internal processes,Universal,Not changed,,,,,,,
E013: Implement quality management system,Optional,Establish a quality management system for AI systems proportionate to the size of the organization,Core - This should include:,"- Defining quality objectives, metrics, and risk management approach for AI systems. For example, establishing performance targets, safety thresholds, risk assessment methodologies, and measurement processes appropriate to system risk level.",E013.1 Documentation: Quality objectives and risk management,"Documentation showing quality objectives, metrics, and risk management approach - may include quality metrics dashboard or reports, risk assessment documentation for AI systems, performance targets and safety thresholds, or measurement methodologies defining how quality is evaluated.",Operational Practices,Internal policies,Universal,Operational Practices,Internal policies,Universal,Not changed,,,,,,,
E013: Implement quality management system,Optional,Establish a quality management system for AI systems proportionate to the size of the organization,Core - This should include:,"- Establishing change management, approval processes, and documentation standards. For example, defining review and approval requirements for AI system changes, assigning accountability for quality decisions, documenting design and development procedures.",E013.2 Documentation: Change management procedures,"Documentation showing change management and approval processes - may include change approval workflows or procedures, RACI matrix assigning accountability for quality decisions, design and development procedure documents, or documentation standards and templates for AI systems. May be fulfilled by evidence submitted to E004: Assign accountability.",Operational Practices,Internal policies,Universal,Operational Practices,Internal policies,Universal,Not changed,,,,,,,
E013: Implement quality management system,Optional,Establish a quality management system for AI systems proportionate to the size of the organization,Core - This should include:,"- Implementing defect tracking, continuous improvement, and post-market monitoring. For example, maintaining issue tracking systems, conducting root cause analysis, documenting corrective actions, establishing post-market monitoring processes.",E013.3 Config: Issue tracking and monitoring,"Issue tracking system or monitoring records - may include issue tracker (Jira, Linear, GitHub) with defects and corrective actions, root cause analysis reports, post-market monitoring logs or dashboards, or continuous improvement documentation showing lessons learned.",Technical Implementation,Engineering Tooling,Universal,Technical Implementation,Engineering Tooling,Universal,Changed existing (evidence language),,,,,,,
E013: Implement quality management system,Optional,Establish a quality management system for AI systems proportionate to the size of the organization,Supplemental - This may include:,"- Establishing data management and record-keeping systems. For example, documenting data governance procedures, maintaining technical documentation, implementing record retention policies for model training data and system outputs.",E013.4 Documentation: Data management procedures,"Documentation showing data management and record-keeping practices - may include data governance policies, technical documentation standards, record retention procedures, or data lineage tracking systems for training data and system outputs.",Operational Practices,Internal policies,Universal,Operational Practices,Internal policies,Universal,Not changed,,,,,,,
E013: Implement quality management system,Optional,Establish a quality management system for AI systems proportionate to the size of the organization,Supplemental - This may include:,"- Documenting communication procedures with regulatory authorities and stakeholders. For example, establishing protocols for regulatory reporting, stakeholder notifications for incidents, and procedures for authority interactions.",E013.5 Documentation: Stakeholder communication procedures,"Procedures document or communication protocols - may include incident reporting templates or protocols to regulatory authorities, stakeholder notification procedures for serious incidents, guidelines for interacting with competent authorities or notified bodies, or escalation procedures for regulatory communications.",Operational Practices,Internal processes,Universal,Operational Practices,Internal processes,Universal,Not changed,,,,,,,
E014: [Retired] Share transparency reports,Optional,Merged with E017 - see changelog (Q1 2026 update),Supplemental - This may include:,"This requirement was merged into E017 at the Q1, 2026 standard update. See aiuc-1.com/changelog for more information",E014.1 Not applicable,Not applicable,,,Universal,,,Universal,Not changed,,,,,,,
E015: Log AI system activity,Mandatory,"Maintain logs of AI system processes, actions, and agent outputs where permitted to support incident investigation, auditing, and explanation of AI system behavior",Core - This should include:,"- Capturing system activity details to support incident investigation and behavior explanation. For example, logging inputs, processing steps, outputs, and metadata for AI systems.",E015.1 Config: Logging implementation,"Logging code or configuration showing what system activity is captured - may include code logging inputs and outputs, logging configuration file specifying what to log, or example log entries showing captured information (timestamps, inputs, outputs, user actions).",Technical Implementation,Logs,Universal,Technical Implementation,Logs,Universal,Changed existing (evidence language),,,,,,,
E015: Log AI system activity,Mandatory,"Maintain logs of AI system processes, actions, and agent outputs where permitted to support incident investigation, auditing, and explanation of AI system behavior",Supplemental - This may include:,"- Capturing full execution chains of agentic workflows to support investigation of agent-specific incidents. For example, logging agent provenance metadata, tool call parameters and results, sub-agent delegations and their outcomes, approval/authorization events (e.g., human-in-the-loop approvals), and reasoning traces where available.",E015.2 Config: AI agent logging implementation ,"Logging code or configuration demonstrating agent execution logging - may include log fields capturing agent provenance metadata per execution (e.g. agent type identifier, creator or deployment origin); structured log entries capturing tool call parameters and their results; delegation chain records showing sub-agent handoffs with identity, task context, and outcome at each step; approval/authorization records linked to execution (e.g., approver identity, timestamp, decision outcome); or reasoning trace output from the agent framework.",Technical Implementation,Logs,Universal,,,,New ,MCP/A2A/multi-agent orchestration,,,,"Supplemental control
Category: Technical Implementation
Typical location: Logs
Capabilities: Universal","Extended logging to cover the intermediate steps between input and output (i.e., tool calls, sub-agent actions, and provenance metadata) getting traceability across the full execution chain",Addition
E015: Log AI system activity,Mandatory,"Maintain logs of AI system processes, actions, and agent outputs where permitted to support incident investigation, auditing, and explanation of AI system behavior",Core - This should include:,"- Implementing log storage with appropriate retention periods, access controls, and data sanitation to support auditing and incident response.",E015.3 Config: Log storage,"Log storage system showing retention policies, access controls and sanitation practices - may include log management platform (Datadog, Splunk, CloudWatch) with retention period settings and PII-masking, access control configuration showing who can view logs, or storage settings with automatic deletion rules.",Technical Implementation,"Logs, Engineering Tooling",Universal,Technical Implementation,"Logs, Engineering Tooling",Universal,Changed existing (evidence language),,,,,,,
E015: Log AI system activity,Mandatory,"Maintain logs of AI system processes, actions, and agent outputs where permitted to support incident investigation, auditing, and explanation of AI system behavior",Supplemental - This may include:,"- Implementing technical controls to ensure logs are tamper-evident and independently verifiable. For example, ensuring that captured records cannot be modified or deleted after creation, ensuring sequence integrity so that gaps, omissions, and reordering are detectable during incident investigation or audit.",E015.4 Config: Log integrity protection,"Log immutability controls - for example, write-once-read-many (WORM) storage configuration, cryptographic hashing of log entries, append-only database settings, or third-party log management platform features.",Technical Implementation,"Logs, Engineering Code",Universal,Technical Implementation,"Logs, Engineering Code",Universal,Changed existing (evidence language),,,,,,,
E016: Implement AI disclosure mechanisms,Mandatory,Implement clear disclosure mechanisms to inform users when they are interacting with AI systems rather than humans,Core - This should include:,"- Implementing AI disclosure for text-based interactions. For example, displaying clear notices when users interact with AI chatbots, virtual assistants, or automated messaging systems.",E016.1 Demonstration: Text AI disclosure,"Text-based AI disclosure - may include chatbot interface with ""You're chatting with AI"" notice, messaging system showing AI agent identifier, website chat widget with AI disclosure banner, or automated email/SMS with AI generation notice.",Technical Implementation,Product,Universal,Technical Implementation,Product,Universal,Changed existing (evidence language),,,,,,,
E016: Implement AI disclosure mechanisms,Mandatory,Implement clear disclosure mechanisms to inform users when they are interacting with AI systems rather than humans,Core - This should include:,"- Implementing AI disclosure for voice-based interactions. For example, providing audio notifications at the beginning of voice calls or interactions.",E016.2 Demonstration: Voice AI disclosure,Transcript or audio recording of voice AI disclosure.,Technical Implementation,Product,Universal,Technical Implementation,Product,Universal,Changed existing (evidence language),,,,,,,
E016: Implement AI disclosure mechanisms,Mandatory,Implement clear disclosure mechanisms to inform users when they are interacting with AI systems rather than humans,Core - This should include:,"- Labelling AI-generated media and documents in a machine-readable and detectable format. For example, marking AI-generated images, videos, audio, or documents with metadata, watermarks, or labels indicating artificial generation.",E016.3 Demonstration: Labelling AI-generated content,"AI generation labeling implementation - may include Content Credentials or C2PA metadata embedded in files, visible watermarking system with AI generation marks, classifier output detecting and flagging AI-generated content, or metadata tagging system marking files as artificially generated.",Technical Implementation,Product,Universal,Technical Implementation,Product,Universal,Changed existing (evidence language),,,,,,,
E016: Implement AI disclosure mechanisms,Mandatory,Implement clear disclosure mechanisms to inform users when they are interacting with AI systems rather than humans,Core - This should include:,"- Disclosing when autonomous AI agents or systems are performing actions. For example, notifying users when AI systems are making decisions, processing requests, or executing tasks without human oversight.",E016.4 Demonstration: Automation AI disclosure,"AI automation disclosure in product - may include ""Powered by AI"" or ""AI Agent"" labels in interface, workflow dashboard displaying AI-automated tasks, status indicators showing ""AI is handling this"" or ""Automated by AI,"" or notification messages stating ""AI agent completed your request.""",Technical Implementation,Product,Universal,Technical Implementation,Product,Universal,Changed existing (content),Other,,,,,Adjusted disclosure to AI agents and systems,Specification
E016: Implement AI disclosure mechanisms,Mandatory,Implement clear disclosure mechanisms to inform users when they are interacting with AI systems rather than humans,Core - This should include:,- Establishing reactive disclosure capabilities when users ask if they are interacting with AI.,E016.5 Demonstration: System response to AI inquiry,"Chatbot or voice agent transcript responding to ""Are you AI?""",Technical Implementation,Product,Universal,Technical Implementation,Product,Universal,Changed existing (evidence language),,,,,,,
